sex,year,sido,height_2016,weight_2016,waist_2016,sight_left_2016,sight_right_2016,hearing_left_2016,hearing_right_2016,SBP_2016,RPBP_2016,cholesterol_2016,triglycerides_2016,HDL_2016,LDL_2016,blood_pigment_2016,urine_protein_2016,serum_creatinine_2016,AST_2016,ALT_2016,gamma_gtp_2016,smoking_2016,oral_inspection_2016,target,stress_percentage,smoke_percentage,alcohol_percentage,health_percentage,pressure_percentage
1,6,46,167.4300587,69.03920744,84.877833,1.02952517,1.0379667,1.031886312,1.027435662,125.6869372,79.12388433,198.3788101,160.2572236,51.10958569,117.2380793,15.04219224,1.073312036,0.996921734,29.3382558,30.80698742,56.494889,1.987811086,0.334344598,0.14671168,0.986621039,1.489680778,1.013918854,1.18940481,1.649567982
1,6,47,167.2135,67.90395731,84.72737256,1.008205389,1.011348859,1.035415826,1.032063436,125.3234932,78.26659371,196.7739244,153.9136583,51.4041173,116.3570358,15.07053238,1.091077388,0.953643181,27.49588136,28.42804193,49.2834062,2.075180752,0.31211749,0.125050839,1.415052782,2.136561908,1.45420444,1.70589367,2.365878762
1,6,48,167.4676438,67.68157642,83.91903885,0.997571572,1.00779091,1.046277494,1.043302069,123.5042853,77.52119294,198.1249077,154.0050981,53.85517137,116.7591562,15.00939389,1.100445005,0.950051996,28.09254584,28.75475536,50.95073433,2.076983929,0.323794766,0.132600789,1.716016193,2.590980971,1.763494902,2.068715174,2.869070552
1,6,49,167.0913306,70.48924634,86.86834832,0.924594274,0.912590188,1.01125538,1.013429083,126.4223234,81.13823444,202.5620219,149.5690423,50.77331351,122.9850223,15.49786728,1.101280942,0.974080952,27.348623,29.67623797,59.73578751,2.126013105,0.410412738,0.128405629,0.30618098,0.462296973,0.31465239,0.369111458,0.511915235
1,7,11,164.6778079,65.51888772,85.50705234,0.877150018,0.877606828,1.05684471,1.05204334,127.8159009,78.04201522,188.1565993,134.2828763,52.91689161,108.7352071,14.85171971,1.12802696,1.003153733,27.30466285,25.94649913,44.19517367,1.931290359,0.393787451,0.154950582,3.025442319,5.016378554,3.415821973,6.382707343,10.91111133
1,7,26,165.0004385,65.07569898,84.95316085,0.872958085,0.866781656,1.081785096,1.076799867,125.1563973,76.37590366,193.1994395,135.8578374,53.04725895,113.9148763,14.66907017,1.131389606,1.008295395,28.13382313,26.78238293,47.46414814,1.9499016,0.373383094,0.165104119,1.296596902,2.149841314,1.463899728,2.735401205,4.676113987
1,7,27,164.6933454,64.86614465,85.22672647,0.878967122,0.847876623,1.071076792,1.066675437,127.3508151,77.10354108,187.9689017,137.0522647,51.12302432,109.6408468,14.60403622,1.109385278,1.001117942,26.9528498,25.6783998,43.50711619,1.932878232,0.290175396,0.149203269,0.760310232,1.260643416,0.858414778,1.604009327,2.742022061
1,7,28,164.5011136,65.45884263,85.48328755,0.925735081,0.905023592,1.064006226,1.053030092,127.7135996,78.41776108,186.8475117,140.6377604,52.11435351,107.1128006,14.7887486,1.132221827,0.994715654,28.36680987,27.42418779,48.49453922,1.959128844,0.413326709,0.157743165,0.801023787,1.328149118,0.904381695,1.689901796,2.888853529
1,7,29,165.0458782,65.79878071,85.01017955,0.911735721,0.890169056,1.062685624,1.060756977,126.1334209,78.26246226,182.8542457,140.528756,49.70961869,105.7278827,14.69441367,1.096141026,1.028030178,28.13155605,27.78074299,46.10765997,1.811824697,0.37930095,0.174683979,0.379012495,0.628427168,0.427917333,0.799594101,1.366890222
1,7,30,165.0070944,65.45548018,85.14071597,0.876817874,0.884183874,1.053964624,1.056794541,127.4648291,78.55622161,185.8686354,138.3001449,51.82288554,106.7955076,14.68930018,1.139447567,0.988547838,27.39117588,26.33616668,42.18547162,1.896412013,0.447714049,0.145791134,0.416332201,0.690305649,0.470052485,0.878326643,1.501481938
